Year,Target
1940,10.885
1941,10.4275
1942,9.88875
1943,10.24
1944,9.7525
1945,9.2875
1946,9.6125
1947,10.1225
1948,9.36375
1949,9.72375
1950,9.70375
1951,9.32
1952,9.87
1953,10.29125
1954,9.5475
1955,8.69875
1956,9.23625
1957,10.38625
1958,9.675
1959,9.9475
1960,9.82875
1961,9.79125
1962,9.77875
1963,10.585
1964,9.22375
1965,9.31125
1966,9.34375
1967,10.105
1968,9.8825
1969,9.9125
1970,9.25
1971,9.1725
1972,9.33
1973,9.3775
1974,10.1625
1975,9.2375
1976,10.1475
1977,9.80375
1978,10.03375
1979,10.79375
1980,10.41125
1981,11.18
1982,10.04625
1983,10.85875
1984,10.19625
1985,9.105
1986,9.84875
1987,10.03
1988,10.26375
1989,10.105
1990,10.38875
1991,9.9175
1992,10.13125
1993,10.5375
1994,10.4125
1995,10.575
1996,10.17625
1997,11.1475
1998,10.5925
1999,9.73625
2000,10.1275
2001,9.76375
2002,10.2225
2003,10.54
2004,10.41
2005,11.00625
2006,10.12
2007,10.03375
2008,9.615
2009,9.5
2010,9.59375
2011,9.8075
2012,9.825
2013,9.98375
2014,10.9575
2015,10.7175
2016,10.53125
2017,10.31
