"","MEbootEmpiricalTwoTail","RMSEthoery","RMSEempirical","MEbootTheoryOneTail","MEbootTheoryTwoTail"
"1",0.8,0.9,0.9,0.9,0.9
"2",0.9,1,1,1,1
"3",0.9,1,1,1,1
"4",0.9,1,1,1,1
"5",0.9,1,1,1,1
"6",0.9,1,1,1,1
"7",0.9,0.9,0.9,0.9,0.9
"8",0.9,0.9,0.9,0.9,0.9
"9",0.9,0.9,0.9,0.9,0.9
"10",0.9,0.9,0.9,0.9,0.9
"11",0.9,0.9,0.9,0.9,0.9
"12",0.9,0.9,0.9,0.9,0.9
"13",0.9,0.9,0.9,0.9,0.9
"14",0.9,0.9,0.9,0.9,0.9
"15",0.8,0.8,0.8,0.8,0.8
"16",0.7,0.8,0.8,0.8,0.8
"17",1,1,0.9,0.9,1
"18",1,1,0.9,0.9,1
"19",1,1,0.9,0.9,1
"20",0.9,1,0.9,0.9,1
"21",0.9,1,0.9,0.9,1
"22",0.9,1,0.9,0.9,1
"23",0.8,1,0.9,0.9,1
"24",0.8,1,0.9,0.9,1
"25",0.7,1,1,1,1
"26",1,1,1,1,1
"27",0.8,1,1,1,1
"28",1,1,1,1,1
"29",1,1,1,1,1
"30",1,1,1,1,1
"31",1,1,1,1,1
"32",1,1,1,1,1
"33",1,1,0.9,1,1
"34",1,1,0.9,1,1
"35",1,1,0.9,1,1
"36",1,1,1,1,1
"37",0.9,1,0.8,1,1
"38",0.9,1,0.8,1,1
"39",0.9,1,0.8,1,1
"40",0.9,1,0.8,1,1
"41",0.9,1,1,1,1
"42",0.9,1,0.9,1,1
"43",0.9,1,1,1,1
"44",0.9,1,1,1,1
"45",0.9,1,1,0.9,1
"46",0.9,1,0.9,0.9,1
"47",1,1,0.9,0.9,1
"48",1,1,0.9,0.9,1
"49",1,0.9,0.8,0.9,1
"50",0.9,0.8,0.8,0.9,1
"51",0.9,0.9,0.8,0.9,1
"52",0.9,0.9,0.8,0.9,1
"53",0.9,0.9,0.8,0.9,1
"54",0.8,0.7,0.7,0.8,0.8
"55",0.8,0.7,0.7,0.8,0.8
"56",0.9,0.8,0.8,0.9,0.9
"57",0.9,0.8,0.7,0.8,0.9
"58",0.9,0.8,0.6,0.9,0.9
"59",0.7,0.7,0.5,0.8,0.9
"60",0.8,0.9,0.8,0.9,0.9
"61",0.8,0.9,0.9,0.9,0.9
"62",0.8,0.9,0.9,0.9,0.9
